Product Category,Unit Price,Quantity,Discount(%),Pages Viewed,Time on Site (Sec),Added to Cart,Purchased
Toys,651.57,1,20,21,965,1,0
Books,945.27,4,15,21,1158,0,0
Electronics,400.44,4,0,19,710,1,0
Home & Kitchen,1268.54,2,5,19,1674,1,1
Home & Kitchen,880.81,3,0,13,427,1,0
Home & Kitchen,458.42,2,10,6,949,1,0
Electronics,623.83,4,0,15,1608,1,1
Toys,1491.56,3,15,24,1169,0,0
Books,791.88,2,0,18,285,1,0
Groceries,164.42,4,10,6,476,1,0
Sports,318.62,4,10,8,1557,0,0
Sports,103.54,2,20,24,1724,1,0
Toys,373.33,4,5,4,309,0,0
Groceries,682.23,1,10,5,1273,0,0
Books,837.89,2,25,5,1462,0,0
Groceries,1151.07,2,15,16,143,0,0
Electronics,693.68,1,0,10,180,1,0
Fashion,481.83,4,0,19,1019,1,0
Groceries,687.69,1,0,1,200,1,0
Home & Kitchen,806.73,3,0,18,1168,0,0
Toys,1374.55,4,15,21,1781,1,0
Fashion,361.79,4,0,18,720,1,0
Groceries,557.98,1,15,17,1526,1,0
Books,799.51,1,10,22,943,1,1
Home & Kitchen,853.62,2,20,9,26,1,0
Groceries,667.9,1,5,8,1454,1,1
Electronics,927.81,2,20,9,1105,1,0
Fashion,161.8,3,10,7,604,0,0
Toys,1159.83,4,0,11,1396,1,0
Groceries,1014.28,1,0,1,1503,1,0
Fashion,511.8,4,10,12,169,1,0
Sports,180.12,2,20,16,526,1,0
Sports,437,4,20,10,610,1,1
Beauty,560.82,4,0,12,689,0,0
Fashion,789.99,1,0,24,121,1,1
Home & Kitchen,837.27,2,10,10,415,0,0
Home & Kitchen,855.27,2,15,1,541,1,0
Home & Kitchen,1140.72,3,0,1,449,1,0
Books,1434.14,3,0,17,702,1,0
Toys,1937.8,4,0,19,892,0,0
Books,986.19,1,0,15,1728,1,1
Home & Kitchen,450.96,4,20,11,583,1,0
Fashion,384.67,4,5,10,1627,1,0
Beauty,464.23,4,20,2,769,1,1
Groceries,829.96,1,20,1,36,1,0
Electronics,344.48,3,30,14,1518,0,0
Books,1113.7,1,5,18,819,1,1
Fashion,601.67,2,10,8,159,1,1
Toys,420.59,2,0,1,1736,1,0
Home & Kitchen,1472.25,1,15,20,361,0,0
Books,1963.8,4,10,18,1257,1,0
Fashion,324.28,3,10,6,499,1,0
Fashion,182.24,4,0,16,434,0,0
Fashion,312.41,4,5,13,930,1,0
Toys,1369.26,4,20,7,168,1,0
Toys,488.23,2,10,16,1594,1,0
Beauty,625.98,1,10,5,1242,1,1
Fashion,162.17,2,0,20,1307,0,0
Groceries,1003.8,4,0,13,1687,1,0
Groceries,752.04,2,0,19,889,1,0
Home & Kitchen,1493.22,2,0,8,1211,1,0
Home & Kitchen,702.87,2,10,9,508,0,0
Electronics,228.95,1,30,20,1223,1,0
Electronics,509.21,4,10,19,1316,1,0
Electronics,544.5,3,10,6,1456,1,0
Groceries,1191.35,3,0,3,1580,0,0
Beauty,1130.83,3,0,23,412,1,1
Beauty,311.68,2,20,12,1323,1,1
Books,1622.05,4,0,3,199,0,0
Home & Kitchen,830.16,3,15,14,1541,1,0
Sports,377.62,1,0,6,734,1,1
Electronics,956.9,4,25,13,1744,0,0
Sports,453.27,2,0,12,1363,1,0
Electronics,766.88,1,0,16,179,1,0
Sports,494.63,4,5,12,637,1,1
Sports,361.94,3,30,4,1320,1,1
Beauty,1001.55,1,0,22,889,0,0
Groceries,205.08,3,20,19,1737,0,0
Home & Kitchen,1148.23,1,5,1,687,1,0
Beauty,880.53,2,5,23,1701,1,0
Fashion,240.22,2,5,20,928,0,0
Home & Kitchen,717.73,1,0,17,1243,0,0
Books,1576.25,4,0,4,1581,1,1
Beauty,467.97,3,0,13,1088,1,0
Beauty,1155.56,2,5,6,33,1,0
Fashion,266.92,3,0,17,1767,1,0
Electronics,194.94,2,10,2,1623,1,0
Books,1894.89,2,0,19,1343,1,0
Toys,1392.83,4,0,16,302,1,1
Beauty,811.02,3,0,22,1666,1,0
Groceries,267.27,3,5,10,240,0,0
Groceries,537.22,3,15,7,677,1,0
Electronics,713.73,4,20,7,1780,1,0
Electronics,326.38,1,0,18,198,1,0
Beauty,1299.26,3,5,21,1026,1,0
Books,1315.98,2,15,18,1590,0,0
Electronics,712.19,1,0,23,628,1,0
Books,1872.33,4,5,2,983,1,0
Groceries,850.72,1,15,13,1473,1,0
Fashion,412.72,1,15,24,662,1,0
Electronics,988.76,1,20,20,906,1,0
Books,1855.47,3,20,2,114,1,0
Beauty,1311.93,4,10,2,1701,1,0
Beauty,845.68,4,25,13,1264,1,0
Electronics,155.36,3,0,17,1774,1,0
Home & Kitchen,884.9,1,20,19,1013,1,1
Beauty,1156.58,3,0,12,471,1,0
Fashion,646.87,4,5,21,1014,0,0
Electronics,605.61,2,10,18,1698,1,0
Electronics,549.85,3,10,14,1773,1,0
Beauty,1289.36,2,15,4,127,1,0
Toys,317.14,2,10,5,1017,1,1
Home & Kitchen,1490.71,3,30,23,1102,0,0
Fashion,346.05,2,5,23,1111,1,0
Sports,445.17,3,15,22,826,1,0
Electronics,297.9,3,10,6,601,0,0
Home & Kitchen,1168.82,1,20,10,1159,0,0
Electronics,342.89,2,10,20,855,1,1
Groceries,504.35,2,0,3,469,0,0
Beauty,415.02,1,0,8,1034,1,1
Home & Kitchen,1499.58,1,20,8,1575,1,1
Beauty,772.57,3,10,21,166,1,0
Groceries,217.59,1,0,20,992,1,0
Toys,625.89,1,5,9,1739,1,1
Toys,652.85,4,10,2,1756,0,0
Home & Kitchen,982.23,4,0,22,1101,1,1
Books,832.56,4,0,12,1181,0,0
Books,1910.48,1,20,8,1069,0,0
Fashion,107.69,4,5,2,653,1,1
Books,981.34,4,0,18,1645,1,0
